,Message,Views,Date,Time
48,✅ 已核實內容  勞工處呼籲僱主應體諒並彈性處理僱員的工作安排Source: 政府新聞處,10.8K,2019-06-12,10:25
49,🚫 以下內容未有可靠來源：毛孟靜指大會取消，今日不進行二讀但香港01剛澄清，立會秘書處指未有消息Source: HK01、毛孟靜FB,8.6K,2019-06-12,10:32
50,🚫 以下內容未有可靠來源：[突發] 警方徵用演藝學院做基地，直至下星期一Fact Check人員已致電演藝辨公室，只有收到職員需離開通知，校內平靜無警方進駐Source: LIHKG,9.8K,2019-06-12,10:41
51,❌ 以下內容是假新聞：[突發] 警方徵用演藝學院做基地，直至下星期一演藝學生會FB指，屬假消息。Fact Check人員已致電演藝辨公室，只有收到職員需離開通知，校內平靜無警方進駐Source: LIHKG、演藝學生會FB,8.5K,2019-06-12,10:46
52,✅ 已核實內容  金鐘道東西線已被佔及暫停行車Source: 現場Fact Check,30.1K,2019-06-12,10:49
53,✅ 已核實內容夏𢡱道、添美道、添華道、金鐘道、龍和道：已全線封閉Source: Now新聞、RTHK,11.8K,2019-06-12,10:55
54,✅ 已核實內容 夏愨道、金鐘道、添美道、添華道、耀星街、部分龍和道、分域碼頭街往中環：仍然封閉Source: 881903 馬路的事,20.4K,2019-06-12,10:59
55,✅ 已核實內容 畢打街至分域街東西行電車服務暫停Source: RTHK 交通消息,12.1K,2019-06-12,11:00
56,✅ 已核實內容張建宗就修例發表講話 呼籲佔據馬路市民返回行人路Source: RTHK News,8.9K,2019-06-12,11:10
57,✅已核實內容 罷課集會由添馬公園移師至愛丁堡廣場Source: RTHK,9.3K,2019-06-12,11:41
58,"✅已核實內容 告士打道西行嚴重擠塞, 電車畢打街東行線封閉Source: Now TV News",10.4K,2019-06-12,11:44
59,✅已核實內容 德國國會轄下人權委員會提出若逃犯修定案通過  德國政府應終止與香港的引渡協議Source: Now TV News,9.6K,2019-06-12,11:46
60,✅已核實內容 Check Inn HK 可提供100個床位小睡休息沖涼 以及無限量食水電源地址：灣仔軒尼詩道273號光華大廈2ASource: Check Inn HK,9.5K,2019-06-12,11:58
61,"✅已核實內容 多名建制派議員 2 時一同乘車離開中區警署，現不知去向。消息指，建制派議員乘座的是16座白色小巴。Source: Cable News, HK01",12.3K,2019-06-12,12:03
62,"✅已核實內容 多名建制派議員 2 時一同乘車離開中區警署，現不知去向。消息指，建制派議員乘座的是16座白色小巴。🚫 以下內容未有可靠來源：車牌為AM9898 白色車Source: Cable News, HK01",10.1K,2019-06-12,12:14
63,"✅已核實內容 警方在政總門外施放催淚水劑　有示威者投擲雜物Source: Cable News, RTHK",12.6K,2019-06-12,12:16
64,✅ 已核實內容 最少100防爆警，速龍經中信橋向政總方向行Source: 現場消息,20.1K,2019-06-12,12:36
65,✅ 已核實內容 政總外警方舉紅旗，走向示威者用棍擊打Source: Cable News,14.2K,2019-06-12,12:44
66,✅ 已核實內容   有示威者向警員拋出煙霧不明物品Source: Cable News,13.6K,2019-06-12,12:47
67,✅ 已核實內容   在立法會示威區，示威者向前衝，警方不斷使用警棍及胡椒噴劑。Source: Now News,14.0K,2019-06-12,12:52
68,✅ 已核實內容  龍和道有示威者拆除路磚並堆疊，又以路旁水馬加固馬路中心的防線。Source: 香港獨立媒體網,12.5K,2019-06-12,12:53
69,✅ 已核實內容  勞工處呼籲僱主應體諒並彈性處理僱員的工作安排Source: 政府新聞處,13.4K,2019-06-12,13:07
70,🚫 以下內容未有可靠來源：毛孟靜指大會取消，今日不進行二讀但香港01剛澄清，立會秘書處指未有消息Source: HK01、毛孟靜FB,12.2K,2019-06-12,14:21
71,🚫 以下內容未有可靠來源：[突發] 警方徵用演藝學院做基地，直至下星期一Fact Check人員已致電演藝辨公室，只有收到職員需離開通知，校內平靜無警方進駐Source: LIHKG,12.6K,2019-06-12,14:23
72,❌ 以下內容是假新聞：[突發] 警方徵用演藝學院做基地，直至下星期一演藝學生會FB指，屬假消息。Fact Check人員已致電演藝辨公室，只有收到職員需離開通知，校內平靜無警方進駐Source: LIHKG、演藝學生會FB,11.8K,2019-06-12,14:52
73,✅ 已核實內容  金鐘道東西線已被佔及暫停行車Source: 現場Fact Check,17.7K,2019-06-12,14:55
74,✅ 已核實內容夏𢡱道、添美道、添華道、金鐘道、龍和道：已全線封閉Source: Now新聞、RTHK,14.6K,2019-06-12,15:01
75,✅ 已核實內容 夏愨道、金鐘道、添美道、添華道、耀星街、部分龍和道、分域碼頭街往中環：仍然封閉Source: 881903 馬路的事,16.3K,2019-06-12,15:11
76,✅ 已核實內容 畢打街至分域街東西行電車服務暫停Source: RTHK 交通消息,17.3K,2019-06-12,15:12
77,✅ 已核實內容張建宗就修例發表講話 呼籲佔據馬路市民返回行人路Source: RTHK News,13.0K,2019-06-12,15:24
78,✅已核實內容 罷課集會由添馬公園移師至愛丁堡廣場Source: RTHK,13.2K,2019-06-12,15:29
79,"✅已核實內容 告士打道西行嚴重擠塞, 電車畢打街東行線封閉Source: Now TV News",11.4K,2019-06-12,15:35
80,✅已核實內容 德國國會轄下人權委員會提出若逃犯修定案通過  德國政府應終止與香港的引渡協議Source: Now TV News,9.6K,2019-06-12,11:46
81,✅已核實內容 Check Inn HK 可提供100個床位小睡休息沖涼 以及無限量食水電源地址：灣仔軒尼詩道273號光華大廈2ASource: Check Inn HK,9.5K,2019-06-12,11:58
82,"✅已核實內容 多名建制派議員 2 時一同乘車離開中區警署，現不知去向。消息指，建制派議員乘座的是16座白色小巴。Source: Cable News, HK01",12.3K,2019-06-12,12:03
83,"✅已核實內容 多名建制派議員 2 時一同乘車離開中區警署，現不知去向。消息指，建制派議員乘座的是16座白色小巴。🚫 以下內容未有可靠來源：車牌為AM9898 白色車Source: Cable News, HK01",10.1K,2019-06-12,12:14
84,"✅已核實內容 警方在政總門外施放催淚水劑　有示威者投擲雜物Source: Cable News, RTHK",12.6K,2019-06-12,12:16
85,✅ 已核實內容 最少100防爆警，速龍經中信橋向政總方向行Source: 現場消息,20.1K,2019-06-12,12:36
86,✅ 已核實內容 政總外警方舉紅旗，走向示威者用棍擊打Source: Cable News,14.2K,2019-06-12,12:44
87,✅ 已核實內容   有示威者向警員拋出煙霧不明物品Source: Cable News,13.6K,2019-06-12,12:47
88,✅ 已核實內容   在立法會示威區，示威者向前衝，警方不斷使用警棍及胡椒噴劑。Source: Now News,14.0K,2019-06-12,12:52
89,✅ 已核實內容   在立法會示威區，示威者衝破警方防線，警方向示威者開槍。Source: Now News,12.5K,2019-06-12,12:53
90,✅ 已核實內容   在立法會示威區，示威者衝破警方防線，警方向示威者開槍。Source: Now News,13.4K,2019-06-12,13:07
91,✅ 已核實內容   在立法會示威區，示威者衝破警方防線，警方向示威者發射布袋彈。Source: RTHK,12.2K,2019-06-12,14:21
92,✅  已核實內容   警方已施放催淚彈。Source: NOW TV News、蘋果、RTHK,12.6K,2019-06-12,14:23
93,✅  已核實內容   警方已在龍和道施放催淚彈。Source: NOW TV News,11.8K,2019-06-12,14:52
94,✅ 已核實內容   警方發射布袋彈後，進入立法會重整，有人已更換手上槍款。Source: NOW TV News,17.7K,2019-06-12,14:55
95,✅ 已核實內容    演藝對開都有施放催淚彈Source: 現場消息,14.6K,2019-06-12,15:01
96,✅ 已核實內容  盧偉聰形容示威為「騷亂」，指警方曾用布袋彈及橡膠彈。Source: Cable News,16.3K,2019-06-12,15:11
97,✅ 已核實內容   盧偉聰呼籲市民不要進入金鐘一帶Source: Cable News,17.3K,2019-06-12,15:12
98,✅ 已核實內容  盧偉聰見記者時指，不會出動解放軍。Source: Cable News,13.0K,2019-06-12,15:24
99,✅ 已核實內容  盧偉聰見記者時指，不會出動解放軍，警方有信心控制現場Source: Cable News,13.2K,2019-06-12,15:29
100,✅  已核實內容 警方公共關係科江永祥指，形容現時金鐘是「暴亂」。盧偉聰形容示威為「騷亂」，指警方曾用布袋彈及橡膠彈，呼籲市民不要進入金鐘一帶。盧偉聰指，解放軍不會出動，警方有信心控制現場。警方形容部分示威者是「暴徒」。Source: Cable News,11.4K,2019-06-12,15:35
101,✅ 已核實內容警方再次舉起黑旗。Source: Cable News,14.2K,2019-06-12,15:45
102,✅ 已核實內容教協發動本周全港罷課，指社會氣氛急劇惡化。Source: RTHK News,14.2K,2019-06-12,15:45
103,✅ 已核實內容 中信橋上警方放催淚彈。Source: 現場消息,12.0K,2019-06-12,15:47
104,✅ 已核實內容中信橋底警方放催淚彈。,13.6K,2019-06-12,15:51
105,✅ 已核實內容堅道明愛社區中心開放至晚上10點，包括教堂與空地。Source: Fact Check人員致電,12.4K,2019-06-12,16:00
106,✅ 已核實內容 港台外判司機混亂中受傷，頭部流血失去知覺送院Source: RTHK News,12.1K,2019-06-12,16:02
107,❌ 以下內容是假消息：  [建制派會開會，建制派議員入晒去，泛民議員入唔到去，開會就會過條法案]已致電泛民議員助理，指暫時完全沒關於開會消息Source: Fact Check人員致電,11.7K,2019-06-12,16:15
108,✅ 已核實內容中信橋底警方放催淚彈。,12.0K,2019-06-12,16:28
109,✅ 已核實內容堅道明愛社區中心開放至晚上10點，包括教堂與空地。Source: Fact Check人員致電,11.7K,2019-06-12,16:30
110,✅ 已核實內容 港台外判司機混亂中受傷，頭部流血失去知覺送院Source: RTHK News,12.6K,2019-06-12,16:31
111,❌ 以下內容是假消息：  [建制派會開會，建制派議員入晒去，泛民議員入唔到去，開會就會過條法案]已致電泛民議員助理，指暫時完全沒關於開會消息Source: Fact Check人員致電,16.0K,2019-06-12,16:31
112,❌以下內容極可能是假消息： 英國領事館已確認開放領事館「空地範圍」供市民休息已致電英國領事館，熱線駁去倫敦，表示駐港領事館已關門Source: Fact Check人員致電,12.3K,2019-06-12,16:38
113,✅ 已核實內容 社聯於灣仔溫莎公爵社會服務大廈設安全休息站，為公眾或有需要的人士提供支援及休息的地方。地點：灣仔軒尼詩道15號溫莎公爵社會服務大廈1樓禮堂Source: 社聯FB,14.8K,2019-06-12,16:42
114,🚫 以下內容在網上流傳，未有可靠來源：「今晚會大清場，我家姐朋友喺親中公司返工收到風，手法會再激烈，大家請叫身邊朋友唔好去金鐘現場」,22.5K,2019-06-12,16:45
115,❌網上流傳以下醫生名單，已致電證實沒人開門，極可能是假消息：胡錦生 中環夏愨道12 號美國銀行中心 2207室範沛基 金鐘夏愨道 18號海富中心第一期16樓 1605至1609室曹世植 金鐘金鐘道 89號力寶中心2座3702 b室鍾麗珊 香港夏慤道18號海富中心2座68c號鍾偉傑 幹諾道西 70至72號 金佑商業大廈2樓辛敏儀 夏慤道18號海富中心 寫字樓2座1號 71號舖林光明 夏慤道18號海富中心 中心商場2座1樓71號舖Source: Fact Check人員致電,12.6K,2019-06-12,16:55
116,✅ 已核實內容 議員現在可用立法會停車場入口進出添美道Source: 民陣,12.6K,2019-06-12,16:57
117,✅ 已核實內容灣仔建道神學院正開放予公眾人士。香港灣仔蘭杜街２號麗都大廈一樓電話 Tel：(852) 2735-1470Source: Fact Check人員致電,13.0K,2019-06-12,17:00
118,✅ 已核實內容立法會今日不會召開會議。Source: Now TV News,23.9K,2019-06-12,17:11
119,✅ 已核實內容 灣仔建道神學院正開放予公眾人士。職員覆電話時指，場地可容納一百人，有水電供應，另正購入生理鹽水等物資香港灣仔蘭杜街２號麗都大廈一樓電話 Tel：(852) 2735-1470Source: Fact Check人員致電,19.4K,2019-06-12,17:25
120,✅ 已核實內容灣仔聖母聖衣堂正開放予公眾人士。職員指，內有急救用品。香港灣仔星街1號+852 2527 7240Source: Fact Check人員致電,12.6K,2019-06-12,16:57
121,🚫 以下內容未有可靠來源警方於金鐘站內放催淚彈站內有煙有機會是地面濃煙吹入地鐵站Source: Fact check人員現場資訊,13.0K,2019-06-12,17:00
122,✅已核實內容防暴警員已到達金鐘站C出口，即金鐘廊地面Source: Fact Check 人員現場資訊,23.9K,2019-06-12,17:11
123,✅已核實內容約6點15分警方曾於高等法院放催淚彈Source: 現場消息,19.4K,2019-06-12,17:25
124,✅已核實內容灣仔循道衛理香港堂開放予休息 亦有急救組織在場 地址：灣仔軒尼詩道36號Source: Fact Check 人員致電,25.3K,2019-06-12,17:31
125,✅已核實內容金鐘道警方舉起黑旗及施放催淚彈，並由灣仔方向推進，令示威者退到金鐘道西行線Source: 現場消息,15.7K,2019-06-12,17:35
126,有關醫院進入緊急模式，本channel正盡力查證中⭕️以下為暫確定資訊：瑪麗醫院進入standby mode律敦治醫院發出disaster call屯門醫院預備接受直升機個案&預留嚴重創傷病房以上訊息為醫院內部人員由星期日起討論，有關決定可能同時涉及內部行政同前線決定請注意，有關警方8時清場消息暫無可靠消息來源🚫本channel仍懇請各在外人士勿掉以輕心，小心安全，若再有新資訊會再更新Source: Fact Check Channel人員,14.2K,2019-06-12,17:46
127,✅已核實內容循道衛理香港堂已滿了人請到以下地方：灣仔建道神學會，聖母聖衣堂，社聯灣仔溫莎公爵大廈Source: Fact check 人員致電,16.9K,2019-06-12,17:48
128,有關醫院進入緊急模式，本channel正盡力查證中⭕️以下為暫確定資訊：瑪麗醫院進入standby mode律敦治醫院發出disaster call屯門醫院預備接受直升機個案&預留嚴重創傷病房以上訊息為醫院內部人員由星期日起討論，有關決定可能同時涉及內部行政同前線決定請注意，有關警方8時清場消息暫無可靠消息來源🚫本channel仍懇請各在外人士勿掉以輕心，小心安全，若再有新資訊會再更新Source: Fact Check Channel人員,19.4K,2019-06-12,17:50
129,✅已核實內容循道衛理香港堂已滿了人請到以下地方：灣仔建道神學會，聖母聖衣堂，社聯灣仔溫莎公爵大廈Source: Fact check 人員致電,15.4K,2019-06-12,18:08
130,✅已核實內容 因應警方要求，金鐘站於晚上八時半會關閉。Source: 港鐵,27.0K,2019-06-12,18:10
131,✅已核實內容現場消息 (20:17): 統一中心警力明顯加強 最前方示威者開始向後退Source: HK01,15.4K,2019-06-12,18:11
132,✅已核實內容Gogovan 可於灣仔範圍免費提供協助 有需要請whatsapp 52393656Source: Gogovan Facebook page,15.4K,2019-06-12,18:23
133,"[20:47 update] 有關醫院進入緊急模式及警方清場安排，本channel正盡力查證中前線醫護人員資訊：✅已核實內容1. 瑪麗醫院進入standby mode, 另外B5外科病房已清空 以應對示威活動傷者2. 屯門醫院預備接受直升機個案&預留嚴重創傷病房⭕以下為暫確定資訊：1. 前線人員表示律敦治醫院發出disaster call, 而致電院方則表示未有發出Source: 前線醫護人員及Fact check 人員致電———————————————官方行政資訊：✅已核實內容1. 醫管局回覆每當有緊急情況會開一個叫MICC (Major Incident Command Centre) 的應變中心，其他醫院需配合該應變狀態而 *今早9時* 已啟動MICC———————————————醫院內部有關決定可能同時涉及內部行政同前線決定，不能直接以醫院安排推測警方安排———————————————本channel仍懇請各在外人士勿掉以輕心，小心安全，若再有新資訊會再更新",13.3K,2019-06-12,18:33
134,✅已核實內容灣仔循道衛理香港堂被警方包圍Source: 現場消息,14.5K,2019-06-12,18:42
135,［更正］🚫以下內容為假新聞灣仔循道衛理香港堂被警方包圍Source: Fact check 人員致電,14.2K,2019-06-12,18:45
136,✅已核實內容聖母聖衣堂會24小時開放地址：金鐘星街1號Source: 現場消息,13.9K,2019-06-12,18:57
137,[反送中]Fact Check Channel removed group photo,16.6K,2019-06-12,19:02
138,[反送中]Fact Check Channel updated group photo,17.0K,2019-06-12,19:57
139,✅已核實內容警方向現場議員表示 事件已定性為暴動Source: Cable tv live,16.7K,2019-06-12,20:04
140,［21:40 update］❌以下內容為假新聞灣仔循道衛理香港堂被警方包圍核實video: https://www.facebook.com/nokhinau/videos/2712124655464962/由片段可見(約01:45開始)，圖中被圍封位置應為太古廣場Source: Fact check 人員致電/區諾軒Facebook live,17.0K,2019-06-12,19:57
141,✅已核實內容警察於金鐘道開始清場Source: cable tv live,16.7K,2019-06-12,20:04
142,✅已核實內容截至晚上10時，最少72人受傷送院Source: Now新聞,24.1K,2019-06-12,20:25
143,"✅已核實內容 金鐘站仍然關閉，荃灣綫及港島綫來回方向的列車，不停金鐘站。Source: RTHK, Apple Daily",13.6K,2019-06-12,20:29
144,🚫以下內容未有可靠來源立法會大會將在10：30舉行二讀會議鄭松泰議員引述秘書處回覆大會時間未決定（not determined yet）Source: 鄭松泰Facebook,17.0K,2019-06-12,20:47
145,✅已核實內容太古廣場今日關閉Source: Pacific Place Hong Kong Facebook,15.1K,2019-06-12,20:48
146,✅已核實內容太古廣場商場今日關閉。上蓋之酒店、太古廣場一座及二座辦公室則維持開放。Source: Pacific Place Hong Kong Facebook,16.4K,2019-06-12,20:49
147,"✅已核實內容部分建制派立法會議員包括梁美芬、李國麟、邵家輝等今早9時前已返回立法會，暫未知何時開始會議。Source: Now News, Apple Daily Live, HK01",17.9K,2019-06-12,20:53
148,"✅已核實內容部分建制派立法會議員包括梁美芬、李國麟、邵家輝等今早9時前已返回立法會，暫未知何時開始會議。Source: Now News, Apple Daily Live, HK01",14.2K,2019-06-12,21:11
149,✅已核實內容立法會秘書處發通告，今日不會召開大會。Source: 立法會秘書處,16.4K,2019-06-12,21:18
150,✅已核實內容緊急醫療服務診所 註冊護士+物理治療+心理學家 Standby 晚上8-10免費開放（今明兩晚一定有）如果有關節扭傷、肌肉韌帶拉傷、撞傷、瘀傷、傷口處理，這裡除了有註冊護士和物理治療師提供醫療服務和諮詢，同時有臨床心理學家提供情緒支援服務。如有需要，請whatsapp 55930924預約，留下簡單名字（不用全名）及電語，可有免費諮詢地點：銅鑼灣堅拿道西15號永德大廈閣樓Source: Fact check 人員查詢,15.5K,2019-06-12,21:19
151,✅已核實内容Telegram創辦人指昨天的DDos攻擊主要來自中國，加上攻擊與反送中示威時間吻合，認為兩者有關Source: Pavel Durov Twitter,17.7K,2019-06-12,21:33
152,✅已核實內容都會物理治療中心會為示威中於金鐘受傷之學生提供免費骨傷科物理治療及洗傷口有需要請直接致電133 2781 0303不接受留言地址：油麻地彌敦道683-685號美美大廈13/FSource: 都會物理治療中心Fb page,15.2K,2019-06-12,21:44
153,✅已核實內容金鐘站重開Source: RTHK News,17.1K,2019-06-12,21:56
154,✅已核實內容一名城大學生與另一名示威者在伊利沙伯醫院求醫期間被捕，其中城大生以暴動罪名被拘捕。Source: 城大編委會/港大校園電視,16.5K,2019-06-12,23:29
155,✅已核實內容民陣正向警方申請星期日（6月16日）遊行和星期一（6月17日）集會，呼籲市民參加。Source: 民間人權陣線資訊頻道,14.6K,2019-06-12,06:42
156,✅已核實內容立法會秘書處發通知，立法會會議不會在明天（6月14日）舉行。Source: 立法會秘書處,14.3K,2019-06-13,08:50
157,✅已核實内容警務處長盧偉聰就6月12日金鐘示威表示：-行動中拘捕11人，涉公眾地方擾亂秩序，非法集會，襲警，暴動，22警員不同程度受傷-警方共發約150枚催涙彈，數發橡膠子彈，20發布袋彈，強調警方在可行情況下會先向示威者警告才發射催淚彈情況緊急時可能未有舉黑旗，只作口頭警告就發射-警方在醫院有拘捕行動，因為有合理懷疑及證據，顯示部分人涉干犯刑事罪行，非要搜查醫院-強調警員使用武力克制，武力與海外手法相近，全部都係低殺傷力武器，但會檢視武器使用及指引-未知頭部中槍傷者屬何案件，受傷者可報警讓警方了解-若記者有被不禮貌對待係警方唔啱，表示抱歉及希望體諒-昨3:30警方定性暴動-目前(at the moment)不會尋求解放軍協助Source: RTHK News live,16.1K,2019-06-13,08:55
158,🚫以下消息未有可靠來源2名港大學生在宿舍內被捕2名李國賢堂宿生早前在中環被捕港大學生會指，目前為止未有同學在宿舍內被捕。Source: 港大學生會/李國賢堂宿生會本channel正核實警員進入港大宿舍搜查一事,16.1K,2019-06-13,08:57
159,🚫以下消息未有可靠來源警察到城大進行搜查城大學生會表示該會與校方均無發現警方到校進行搜查Source: Fact check人員致電,16.4K,2019-06-13,09:31
160,🚫以下消息未有可靠來源港大學生會法律支援團隊確認，警方並無李國賢堂搜查令。港大學生會表示並無作出相關發言。Source: 港大學生會,13.7K,2019-06-13,09:31
161,✅已核實消息港大李國賢堂舍監吳兆文指，2名學生昨日被捕，義務律師已和他們接觸，2人獲准保釋。警方今日未有前來宿舍搜查，校方會確保警方有足夠法律權力，方容許警方進入宿舍搜查。又指校方不怪責學生，會再跟進他們有何需要。Source: 立場新聞Live,19.6K,2019-06-13,11:06
162,✅已核實消息醫管局指公立醫院過去兩日接收與示威活動有關的傷者中，並沒有人死亡。截至今日晚上十時，共有81名與示威活動有關的傷者到十間公立醫院急症室求診，年齡介乎15至66歲。目前仍有3男2女傷者留醫，全部情況穩定。Source: 政府新聞公告,14.7K,2019-06-13,13:03
163,❌以下內容已證實為假消息: 警方懷疑有示威者匿藏演藝學院，曾派大批警員進入大舉搜查。其後，校方需安排旅遊巴，安排接載學生離開。香港演藝學院學生會稱已查證此為虛假消息，又表示校園已關閉，任何人都不能進入。Source: 香港演藝學院學生會 Facebook,14.0K,2019-06-13,13:32
164,❌以下內容已證實為假消息: 我地民陣唔會籌錢，亦已經叫咗各黨都唔籌，人地聽唔聽我地都決定唔到而到依刻都仲未有不反對通知書當日我地遊行會有三大目的：1. 遣責警方武力鎮壓2. 撤回修訂引渡條例3. 林鄭月娥下台睇返啲相同片，真係好撚心up616見。————民陣已澄清並沒有於連登討論區開設户口。Source: 民間人權陣線,14.3K,2019-06-13,13:44
165,✅已核實消息立法會下周一及周二沒有安排會議Source: 立法會秘書處,14.6K,2019-06-13,13:48
166,🚫以下内容未有可靠內源林鄭月娥今晚八點見記者Source: 楊岳橋 Facebook 指行政長官辦公室否認此事,14.6K,2019-06-13,14:26
